seq,dinov2,siglip,weakmetric,dinov2_pct,siglip_pct,weakmetric_pct,ensemble_pct,video,camera,start_frame,end_frame,n_dets,avg_conf
4655,0.47175443172454834,0.610858142375946,0.6480444669723511,0.23972602739726026,0.5958904109589042,0.8082191780821918,0.547945205479452,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,42681,42980,300,0.649456
9501,0.6227595806121826,0.6042680144309998,0.5013697147369385,0.8013698630136986,0.5342465753424658,0.3013698630136986,0.545662100456621,vlincs_MS01_MC0001_MCAM08_2024-03-Tc6,MCAM08,12645,12944,300,0.917179
7340,0.5669084787368774,0.58054518699646,0.5880809426307678,0.5684931506849316,0.4315068493150685,0.636986301369863,0.545662100456621,vlincs_MS01_MC0001_MCAM06_2024-03-Tc8,MCAM06,5917,6216,272,0.887614
4743,0.48241758346557617,0.6441850662231445,0.5773659944534302,0.2876712328767123,0.7465753424657534,0.6027397260273972,0.545662100456621,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,43281,43558,278,0.639415
6766,0.5587347745895386,0.5144748687744141,0.7487161159515381,0.541095890410959,0.0958904109589041,0.9931506849315068,0.54337899543379,vlincs_MS01_MC0001_MCAM05_2024-03-Tc8,MCAM05,32510,32615,76,0.878461
1943,0.5576820373535156,0.5419952273368835,0.6681665182113647,0.5342465753424658,0.23972602739726026,0.8561643835616438,0.5433789954337899,vlincs_MS01_MC0001_MCAM03_2024-03-Tc8,MCAM03,32051,32350,300,0.891236
7303,0.4824059009552002,0.6393658518791199,0.5817312002182007,0.2808219178082192,0.726027397260274,0.6164383561643836,0.541095890410959,vlincs_MS01_MC0001_MCAM06_2024-03-Tc8,MCAM06,32527,32608,82,0.832329
4887,0.5308324098587036,0.60221266746521,0.5837882161140442,0.4589041095890411,0.5273972602739726,0.6232876712328768,0.5365296803652968,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,44212,44511,277,0.563053
1119,0.5042638778686523,0.5585812926292419,0.6840036511421204,0.3767123287671233,0.3287671232876712,0.9041095890410958,0.5365296803652968,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,24220,24519,278,0.485218
1934,0.5708383321762085,0.5849267244338989,0.568229079246521,0.589041095890411,0.4520547945205479,0.5616438356164384,0.5342465753424658,vlincs_MS01_MC0001_MCAM03_2024-03-Tc8,MCAM03,31751,32050,300,0.838271
3354,0.4036647081375122,0.592396080493927,0.7455735206604004,0.13013698630136986,0.4931506849315068,0.9794520547945206,0.5342465753424658,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,34933,35194,242,0.753536
2022,0.6084520220756531,0.5907857418060303,0.518430769443512,0.7602739726027398,0.4863013698630137,0.3493150684931507,0.5319634703196348,vlincs_MS01_MC0001_MCAM03_2024-03-Tc8,MCAM03,35132,35431,300,0.897887
2010,0.5413196086883545,0.6124919056892395,0.5607191324234009,0.4794520547945205,0.6027397260273972,0.4931506849315068,0.5251141552511415,vlincs_MS01_MC0001_MCAM03_2024-03-Tc8,MCAM03,34832,35131,300,0.900325
9640,0.5939181447029114,0.534259557723999,0.6053430438041687,0.6712328767123288,0.18493150684931506,0.7123287671232876,0.5228310502283104,vlincs_MS01_MC0001_MCAM08_2024-03-Tc6,MCAM08,13597,13896,300,0.900712
2096,0.5696781873703003,0.6306991577148438,0.49579501152038574,0.5821917808219178,0.6917808219178082,0.2876712328767123,0.5205479452054794,vlincs_MS01_MC0001_MCAM03_2024-03-Tc8,MCAM03,37445,37532,88,0.650035
7384,0.4835771918296814,0.5718166828155518,0.6519321799278259,0.3013698630136986,0.4041095890410959,0.8287671232876712,0.5114155251141552,vlincs_MS01_MC0001_MCAM06_2024-03-Tc8,MCAM06,6517,6787,271,0.910338
8614,0.6138050556182861,0.6312053203582764,0.34137824177742004,0.7671232876712328,0.6986301369863014,0.06164383561643835,0.5091324200913242,vlincs_MS01_MC0001_MCAM08_2024-03-Tc6,MCAM08,31855,32154,240,0.427463
9313,0.5139797329902649,0.6984761953353882,0.47267454862594604,0.4041095890410959,0.9041095890410958,0.2191780821917808,0.5091324200913242,vlincs_MS01_MC0001_MCAM08_2024-03-Tc6,MCAM08,4764,5063,300,0.829715
7227,0.503459095954895,0.6139136552810669,0.5633326768875122,0.3698630136986301,0.6095890410958904,0.5205479452054794,0.5,vlincs_MS01_MC0001_MCAM06_2024-03-Tc8,MCAM06,25003,25302,279,0.617383
7417,0.5246677398681641,0.5403519868850708,0.6497472524642944,0.4315068493150685,0.2328767123287671,0.815068493150685,0.4931506849315069,vlincs_MS01_MC0001_MCAM06_2024-03-Tc8,MCAM06,8431,8730,300,0.909739
1805,0.5185812711715698,0.5628215074539185,0.6010736227035522,0.4246575342465753,0.3561643835616438,0.6986301369863014,0.4931506849315069,vlincs_MS01_MC0001_MCAM03_2024-03-Tc8,MCAM03,19996,20283,287,0.846607
793,0.5825315713882446,0.558813214302063,0.5596796274185181,0.6232876712328768,0.3356164383561644,0.4794520547945205,0.4794520547945205,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,19130,19429,300,0.915493
